Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Custom Label 0 (product.metafields.custom.custom_label_0),Google Product Category (product.metafields.custom.google_product_category),Age Group (product.metafields.google.age_group),Condition (product.metafields.google.condition),Gender (product.metafields.google.gender),Google Product Category (product.metafields.google.google_product_category),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Active ingredient (product.metafields.shopify.active-ingredient),Application method (product.metafields.shopify.application-method),Application type (product.metafields.shopify.application-type),Body area (product.metafields.shopify.body-area),Cleanser type (product.metafields.shopify.cleanser-type),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Cosmetic finish (product.metafields.shopify.cosmetic-finish),Cosmetic function (product.metafields.shopify.cosmetic-function),Coverage level (product.metafields.shopify.coverage-level),Dispenser type (product.metafields.shopify.dispenser-type),Exfoliation method (product.metafields.shopify.exfoliation-method),Eye care applicator type (product.metafields.shopify.eye-care-applicator-type),Eyebrow applicator type (product.metafields.shopify.eyebrow-applicator-type),Face area (product.metafields.shopify.face-area),Hair care effect (product.metafields.shopify.hair-care-effect),Hair care items included (product.metafields.shopify.hair-care-items-included),Lip makeup opacity (product.metafields.shopify.lip-makeup-opacity),Lipstick effect (product.metafields.shopify.lipstick-effect),Makeup shade (product.metafields.shopify.makeup-color-shade),Makeup features (product.metafields.shopify.makeup-features),Material (product.metafields.shopify.material),Moisturizer type (product.metafields.shopify.moisturizer-type),PA rating (product.metafields.shopify.pa-rating),Package type (product.metafields.shopify.package-type),Product form (product.metafields.shopify.product-form),Rinse requirement (product.metafields.shopify.rinse-requirement),Skin care effect (product.metafields.shopify.skin-care-effect),Skin care features (product.metafields.shopify.skin-care-features),Skin care mask type (product.metafields.shopify.skin-care-mask-type),SPF level (product.metafields.shopify.spf-level),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Texture (product.metafields.shopify.texture),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / Canada,Price / Canada,Compare At Price / Canada,Included / United Arab Emirate,Price / United Arab Emirate,Compare At Price / United Arab Emirate,Included / United States,Price / United States,Compare At Price / United States,Status
ootd-aha-bha-clarifying-serum-hcw-ootd-8809349812587,#OOTD AHA BHA Clarifying Serum,"<p><strong>#OOTD AHA BHA Clarifying Serum</strong> is a K-beauty face serum selected for an easy, effective everyday routine. The product name highlights AHA, BHA for targeted skincare care.</p><ul>
<li>Targets the look of dullness and uneven texture</li>
<li>Adds lightweight care without a heavy finish</li>
<li>Layers easily under moisturizer</li>
</ul><p><strong>How to use:</strong> Apply a small amount after cleansing and toner, then follow with moisturizer.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Face Serum,"beauty, draft-import, fast-shipping, K-Beauty, nail-care, serum-essence, ships-from-us, supplier-in-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349812587,0.0,shopify,deny,manual,18.99,,true,true,,,,,'8809349812587,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_d5dc841d-b634-436f-a71a-22a764705c7b.jpg?v=1787816454,1,#OOTD AHA BHA Clarifying Serum,false,#OOTD AHA BHA Clarifying Serum | Genze Hub,#OOTD AHA BHA Clarifying Serum from Genze Hub. Shop serum & essence with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,unisex,adult,HCW-OOTD-8809349812587,new,FALSE,K-Beauty,Face Serums,Ships From US,,,,,,,,,FALSE,,,,,,,,,cleansing,,pump-bottle,,,,,,,,,,,plastic,,,pump-bottle; box,serum,,cleansing; anti-dullness; uneven-skin-tone,non-greasy; easy-to-apply,,,,lightweight,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_d5dc841d-b634-436f-a71a-22a764705c7b.jpg?v=1787816454,g,,,true,,,true,,,true,,,true,,,active
ootd-brightening-kiwi-vitamin-c-cleansing-oil-hcw-ootd-8809349813713,#OOTD Brightening Kiwi Vitamin C Cleansing Oil,"<p><strong>#OOTD Brightening Kiwi Vitamin C Cleansing Oil</strong> is a K-beauty cleanser selected for an easy, effective everyday routine. The product name highlights vitamin C, kiwi-derived ingredients for targeted skincare care.</p><ul>
<li>Helps lift away daily buildup and impurities</li>
<li>Leaves skin feeling fresh and comfortably cleansed</li>
<li>Fits easily into a daily cleansing routine</li>
</ul><p><strong>How to use:</strong> Massage onto skin as appropriate for the product format, then rinse thoroughly. Follow with the rest of your routine.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,Cleanser,"beauty, cleanser, draft-import, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-out-of-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349813713,0.0,shopify,deny,manual,17.99,,true,true,,,,,'8809349813713,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_ce31cfb4-229d-4a98-8779-7e44a938a41e.jpg?v=1787816452,1,#OOTD Brightening Kiwi Vitamin C Cleansing Oil,false,#OOTD Brightening Kiwi Vitamin C Cleansing Oil | Genze Hub,#OOTD Brightening Kiwi Vitamin C Cleansing Oil from Genze Hub. Shop cleanser with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently out of stock.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Facial Cleansers,unisex,adult,HCW-OOTD-8809349813713,new,FALSE,K-Beauty,Facial Cleansers,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_ce31cfb4-229d-4a98-8779-7e44a938a41e.jpg?v=1787816452,g,,,true,,,true,,,true,,,true,,,active
ootd-brightening-vitamin-c-body-lotion-750ml-hcw-ootd-8809349813430,#OOTD Brightening Vitamin C Body Lotion (750ml),"<p><strong>#OOTD Brightening Vitamin C Body Lotion (750ml)</strong> is a K-beauty moisturizer selected for an easy, effective everyday routine. The product name highlights vitamin C for targeted skincare care.</p><ul>
<li>Helps replenish everyday moisture</li>
<li>Supports soft, smooth, comfortable-looking skin</li>
<li>Seals in hydration as the final skincare step</li>
</ul><p><strong>How to use:</strong> Apply an appropriate amount as the moisturizing step of your routine.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,Moisturizer,"beauty, body-care, draft-import, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-in-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349813430,0.0,shopify,deny,manual,21.99,,true,true,,,,,'8809349813430,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_f6e6eebb-6197-4409-b999-962e14144fdf.jpg?v=1787816451,1,#OOTD Brightening Vitamin C Body Lotion (750ml),false,#OOTD Brightening Vitamin C Body Lotion (750ml) | Genze Hub,#OOTD Brightening Vitamin C Body Lotion (750ml) from Genze Hub. Shop moisturizer with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Moisturizers,unisex,adult,HCW-OOTD-8809349813430,new,FALSE,K-Beauty,Face Moisturizers,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_f6e6eebb-6197-4409-b999-962e14144fdf.jpg?v=1787816451,g,,,true,,,true,,,true,,,true,,,active
ootd-brightening-vitamin-c-body-wash-750ml-hcw-ootd-8809349813867,#OOTD Brightening Vitamin C Body Wash (750ml),"<p><strong>#OOTD Brightening Vitamin C Body Wash (750ml)</strong> is a K-beauty body wash selected for an easy, effective everyday routine. The product name highlights vitamin C for targeted skincare care.</p><ul>
<li>Easy to add to a daily beauty routine</li>
<li>Designed for comfortable everyday use</li>
<li>Helps create a polished, well-cared-for look</li>
</ul><p><strong>How to use:</strong> Use as directed on the product packaging and incorporate into your routine as appropriate.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash,"beauty, body-care, draft-import, fast-shipping, K-Beauty, nail-care, ships-from-us",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349813867,0.0,shopify,deny,manual,12.99,,true,true,,,,,'8809349813867,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_bf2c762e-df5c-46e8-8e96-f436acc2a670.jpg?v=1787816449,1,#OOTD Brightening Vitamin C Body Wash (750ml),false,#OOTD Brightening Vitamin C Body Wash (750ml) | Genze Hub,#OOTD Brightening Vitamin C Body Wash (750ml) from Genze Hub. Shop cleanser with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently out of stock.,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Body Wash,unisex,adult,HCW-OOTD-8809349813867,new,FALSE,K-Beauty,Body Wash,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_bf2c762e-df5c-46e8-8e96-f436acc2a670.jpg?v=1787816449,g,,,true,,,true,,,true,,,true,,,active
ootd-ceramide-care-mask-10-pack-hcw-ootd-8809349812051,#OOTD Ceramide Care Mask (10-Pack),"<p><strong>#OOTD Ceramide Care Mask (10-Pack)</strong> is a K-beauty face mask selected for an easy, effective everyday routine. The product name highlights ceramides for targeted skincare care.</p><ul>
<li>Delivers a concentrated skincare step</li>
<li>Helps skin look refreshed and well cared for</li>
<li>Ideal for an easy at-home self-care routine</li>
</ul><p><strong>How to use:</strong> Use on clean skin and follow the directions on the product packaging. Remove or rinse as directed, then continue your routine.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Face Mask,"beauty, draft-import, face-mask-treatment, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-in-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349812051,0.0,shopify,deny,manual,12.99,,true,true,,,,,'8809349812051,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_44278298-a43c-49b2-b30d-aa83defd47d9.jpg?v=1787816447,1,#OOTD Ceramide Care Mask (10-Pack),false,#OOTD Ceramide Care Mask (10-Pack) | Genze Hub,#OOTD Ceramide Care Mask (10-Pack) from Genze Hub. Shop face mask & treatment with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,unisex,adult,HCW-OOTD-8809349812051,new,FALSE,K-Beauty,Skin Care Masks & Peels,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_44278298-a43c-49b2-b30d-aa83defd47d9.jpg?v=1787816447,g,,,true,,,true,,,true,,,true,,,active
ootd-cica-soothing-mask-10-pack-hcw-ootd-8809349812044,#OOTD Cica Soothing Mask (10-Pack),"<p><strong>#OOTD Cica Soothing Mask (10-Pack)</strong> is a K-beauty face mask selected for an easy, effective everyday routine. The product name highlights cica for targeted skincare care.</p><ul>
<li>Delivers a concentrated skincare step</li>
<li>Helps skin look refreshed and well cared for</li>
<li>Ideal for an easy at-home self-care routine</li>
</ul><p><strong>How to use:</strong> Use on clean skin and follow the directions on the product packaging. Remove or rinse as directed, then continue your routine.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Face Mask,"beauty, draft-import, face-mask-treatment, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-out-of-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349812044,0.0,shopify,deny,manual,12.99,,true,true,,,,,'8809349812044,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_c5719b7e-b0e7-418f-b312-c22338610e23.jpg?v=1787816445,1,#OOTD Cica Soothing Mask (10-Pack),false,#OOTD Cica Soothing Mask (10-Pack) | Genze Hub,#OOTD Cica Soothing Mask (10-Pack) from Genze Hub. Shop face mask & treatment with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently out of stock.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,unisex,adult,HCW-OOTD-8809349812044,new,FALSE,K-Beauty,Skin Care Masks & Peels,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_c5719b7e-b0e7-418f-b312-c22338610e23.jpg?v=1787816445,g,,,true,,,true,,,true,,,true,,,active
ootd-collagen-lifting-hydrogel-mask-5-pack-hcw-ootd-8809349813850,#OOTD Collagen Lifting Hydrogel Mask (5-Pack),"<p><strong>#OOTD Collagen Lifting Hydrogel Mask (5-Pack)</strong> is a K-beauty face mask selected for an easy, effective everyday routine. The product name highlights collagen for targeted skincare care.</p><ul>
<li>Delivers a concentrated skincare step</li>
<li>Helps skin look refreshed and well cared for</li>
<li>Ideal for an easy at-home self-care routine</li>
</ul><p><strong>How to use:</strong> Use on clean skin and follow the directions on the product packaging. Remove or rinse as directed, then continue your routine.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Face Mask,"beauty, draft-import, face-mask-treatment, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-in-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349813850,0.0,shopify,deny,manual,12.99,,true,true,,,,,'8809349813850,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_f0bbe7bd-9760-4d4a-baca-f1e1a5a17da8.jpg?v=1787816443,1,#OOTD Collagen Lifting Hydrogel Mask (5-Pack),false,#OOTD Collagen Lifting Hydrogel Mask (5-Pack) | Genze Hub,#OOTD Collagen Lifting Hydrogel Mask (5-Pack) from Genze Hub. Shop face mask & treatment with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,unisex,adult,HCW-OOTD-8809349813850,new,FALSE,K-Beauty,Skin Care Masks & Peels,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_f0bbe7bd-9760-4d4a-baca-f1e1a5a17da8.jpg?v=1787816443,g,,,true,,,true,,,true,,,true,,,active
ootd-collagen-plumping-toner-hcw-ootd-8809349812679,#OOTD Collagen Plumping Toner,"<p><strong>#OOTD Collagen Plumping Toner</strong> is a K-beauty toner selected for an easy, effective everyday routine. The product name highlights collagen for targeted skincare care.</p><ul>
<li>Helps refresh and prep skin after cleansing</li>
<li>Supports a smooth, hydrated-looking complexion</li>
<li>Layers comfortably with the rest of your routine</li>
</ul><p><strong>How to use:</strong> Apply after cleansing with clean hands or a cotton pad, then follow with serum and moisturizer.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Toners & Astringents > Toners,Toner,"beauty, draft-import, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-in-stock, toner",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349812679,0.0,shopify,deny,manual,16.99,,true,true,,,,,'8809349812679,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_91601895-fb9e-46cd-abcc-8ae66b930607.png?v=1787816441,1,#OOTD Collagen Plumping Toner,false,#OOTD Collagen Plumping Toner | Genze Hub,#OOTD Collagen Plumping Toner from Genze Hub. Shop toner with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Toners & Astringents > Toners,unisex,adult,HCW-OOTD-8809349812679,new,FALSE,K-Beauty,Toners,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_91601895-fb9e-46cd-abcc-8ae66b930607.png?v=1787816441,g,,,true,,,true,,,true,,,true,,,active
ootd-collagen-supreme-mask-10-pack-hcw-ootd-8809349812068,#OOTD Collagen Supreme Mask (10-Pack),"<p><strong>#OOTD Collagen Supreme Mask (10-Pack)</strong> is a K-beauty face mask selected for an easy, effective everyday routine. The product name highlights collagen for targeted skincare care.</p><ul>
<li>Delivers a concentrated skincare step</li>
<li>Helps skin look refreshed and well cared for</li>
<li>Ideal for an easy at-home self-care routine</li>
</ul><p><strong>How to use:</strong> Use on clean skin and follow the directions on the product packaging. Remove or rinse as directed, then continue your routine.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Face Mask,"beauty, draft-import, face-mask-treatment, fast-shipping, K-Beauty, nail-care, ships-from-us, supplier-in-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349812068,0.0,shopify,deny,manual,12.99,,true,true,,,,,'8809349812068,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_ac49bb14-80d6-4a4e-ab86-c0f991877c48.jpg?v=1787816439,1,#OOTD Collagen Supreme Mask (10-Pack),false,#OOTD Collagen Supreme Mask (10-Pack) | Genze Hub,#OOTD Collagen Supreme Mask (10-Pack) from Genze Hub. Shop face mask & treatment with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,unisex,adult,HCW-OOTD-8809349812068,new,FALSE,K-Beauty,Skin Care Masks & Peels,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_ac49bb14-80d6-4a4e-ab86-c0f991877c48.jpg?v=1787816439,g,,,true,,,true,,,true,,,true,,,active
ootd-dark-spot-vitamin-c-serum-hcw-ootd-8809349812761,#OOTD Dark Spot Vitamin C Serum,"<p><strong>#OOTD Dark Spot Vitamin C Serum</strong> is a K-beauty face serum selected for an easy, effective everyday routine. The product name highlights vitamin C for targeted skincare care.</p><ul>
<li>Targets the look of dullness and uneven texture</li>
<li>Adds lightweight care without a heavy finish</li>
<li>Layers easily under moisturizer</li>
</ul><p><strong>How to use:</strong> Apply a small amount after cleansing and toner, then follow with moisturizer.</p><p><strong>Good to know:</strong> Check the product packaging for the complete ingredient list and specific directions, especially if your skin is sensitive.</p>",#OOTD,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,Face Serum,"beauty, draft-import, fast-shipping, K-Beauty, nail-care, serum-essence, ships-from-us, supplier-in-stock",true,Default Title,Default Title,,,,,,,,HCW-OOTD-8809349812761,0.0,shopify,deny,manual,18.99,,true,true,,,,,'8809349812761,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_7ede8663-f65a-44b1-b0b1-e1a289d6fa56.jpg?v=1787816437,1,#OOTD Dark Spot Vitamin C Serum,false,#OOTD Dark Spot Vitamin C Serum | Genze Hub,#OOTD Dark Spot Vitamin C Serum from Genze Hub. Shop serum & essence with fast shipping delivery selection. View price and availability for worldwide delivery from the United States; this item is currently available.,Health & Beauty > Personal Care > Cosmetics > Skin Care > Face Serums,unisex,adult,HCW-OOTD-8809349812761,new,FALSE,K-Beauty,Face Serums,Ships From US,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0687/8527/4978/files/file_7ede8663-f65a-44b1-b0b1-e1a289d6fa56.jpg?v=1787816437,g,,,true,,,true,,,true,,,true,,,active
